,BlockName,Basin,Area_sqKm,centroid
0,Baraka,Lake Tanganyika,1814.90352215,"(-4.12949830851549, 29.193324474333696)"
1,Bloc 18,Cuvette Centrale,24554.5359198,"(-4.0, 22.500000000000114)"
2,Bloc 21,Cuvette Centrale,24536.1563007,"(-4.5, 26.0)"
3,Bloc 22,Cuvette Centrale,13224.995194,"(-2.2856945374938107, 16.657869971845567)"
4,Bloc 25,Cuvette Centrale,23310.7889808,"(-4.038223583487734, 16.52214523219121)"
5,Bloc 4,Cuvette Centrale,24609.1941987,"(0.5, 20.0)"
6,Bloc 4B,Cuvette Centrale,24609.1941987,"(0.5, 22.000000000000057)"
7,Bloc 6,Cuvette Centrale,24609.1941987,"(0.5, 26.0)"
8,Bloc I,Albertine Graben,3782.34420836,"(1.8487054971493448, 30.806482762731164)"
9,Bloc II,Albertine Graben,2868.13079287,"(1.3511096142488188, 30.3310694810781)"
10,Bloc V,Albertine Graben,7460.20137307,"(-0.7187545203146153, 29.373565941576512)"
11,Kabimba,Lake Tanganyika,1884.52370002,"(-5.349995702821344, 29.338478447379035)"
12,Kakelwa-Babobo,Lake Tanganyika,1385.42186493,"(-4.975158626121927, 29.21267829127972)"
13,Kalemie (06),Lake Tanganyika,2465.07820163,"(-5.86894264063114, 29.38765317606198)"
14,Kibanga Kisoshi (03),Lake Tanganyika,1724.01986287,"(-4.554910872677823, 29.217811808413234)"
15,Kibi-Fatuma,Lake Tanganyika,1484.36192248,"(-6.3697923185077965, 29.4768446112987)"
16,Kituku Moliro (10),Lake Tanganyika,2317.06106456,"(-7.892149762253228, 30.45481864069418)"
17,Lwandjofu,Lake Kivu,183.322621913,"(-1.830431540106577, 29.082347394897468)"
18,Makelele,Lake Kivu,193.603804626,"(-1.7264360767529534, 29.110445896804947)"
19,Matamba-Makanzi II,Coastal Basin,296.431418828,"(-5.94855486994315, 12.597788750706611)"
20,Moba,Lake Tanganyika,2022.23698081,"(-7.251781873133435, 30.166584867670032)"
21,Moero,Cuvette Centrale,28260.3857122,"(-9.03195373393375, 28.46729885470939)"
22,Mpala,Lake Tanganyika,2330.75897143,"(-6.8262953531937915, 29.79227852985089)"
23,Mulula Lubanga (11),Lake Tanganyika,4588.29098742,"(-5.64729475110845, 28.93908137144807)"
24,Nganzi,Coastal Basin,932.668581261,"(-5.286458869516792, 12.590903370236866)"
25,Upemba,Cuvette Centrale,46518.6688547,"(-8.629403071139283, 26.29035970711273)"
26,Uvira,Lake Tanganyika,1681.18083291,"(-3.4601945898614828, 29.15665931445459)"
27,Yema II,Coastal Basin,289.312510375,"(-5.788959245972288, 12.617379751545881)"
28,Idjwi,Lake Kivu,640.927184346,"(-2.0643926350571937, 29.07771334593956)"
29,Bloc IV,Albertine Graben,3376.40342458,"(0.17335885146268126, 29.565577852139874)"
